Date, Host, Packet loss, min, avg, max, mdev
22/04/2018 00:53:07 BST, 188.42.162.69,  0%, 174.390, 179.295, 197.601, 5.254
22/04/2018 00:55:06 BST, 116.12.51.45,  0%, 197.096, 198.418, 203.061, 0.921
22/04/2018 00:57:06 BST, 180.92.193.10,  0%, 247.299, 249.700, 269.534, 4.089
22/04/2018 06:19:04 BST, 104.20.72.23,  0%, 88.767, 152.755, 169.479, 31.105
22/04/2018 06:21:03 BST, 202.78.202.70,  0%, 325.043, 326.819, 330.798, 0.894
22/04/2018 06:25:12 BST, 200.170.94.6,  0%, 243.403, 246.835, 248.756, 1.856
22/04/2018 06:27:11 BST, 45.221.77.2,  0%, 229.602, 230.592, 232.803, 0.909
22/04/2018 06:29:11 BST, 116.90.239.10,  0%, 167.871, 232.434, 249.809, 31.417
22/04/2018 06:31:10 BST, 41.72.99.143,  30%, 183.452, 186.532, 193.135, 1.409
22/04/2018 06:33:11 BST, 163.43.24.70,  0%, 149.960, 152.446, 153.250, 0.573
22/04/2018 06:35:10 BST, 133.130.35.170,  0%, 254.206, 257.943, 263.913, 1.963
22/04/2018 06:37:10 BST, 103.242.31.11,  0%, 169.425, 172.114, 175.661, 1.486
22/04/2018 06:39:09 BST, 103.75.188.168,  70%, 10.447, 10.689, 11.601, 0.209
22/04/2018 06:41:10 BST, 107.190.134.163,  0%, 267.027, 268.283, 270.123, 1.081
22/04/2018 06:43:09 BST, 103.241.150.190,  0%, 111.728, 189.945, 197.429, 20.685
22/04/2018 06:45:08 BST, 112.137.166.236,  0%, 12.137, 12.426, 12.752, 0.178
22/04/2018 06:47:08 BST, 178.33.235.187,  0%, 115.485, 181.875, 202.291, 30.041
22/04/2018 06:49:07 BST, 101.100.209.220,  11%, 291.924, 296.335, 299.288, 2.180
22/04/2018 06:51:07 BST, 116.12.51.45,  0%, 6.457, 6.631, 8.989, 0.252
22/04/2018 06:53:06 BST, 188.42.162.69,  0%, 89.474, 173.340, 189.996, 20.443
22/04/2018 06:55:06 BST, 116.12.51.45,  0%, 197.185, 200.398, 205.330, 1.618
22/04/2018 06:57:05 BST, 180.92.193.10,  0%, 246.277, 251.254, 267.844, 3.341
22/04/2018 12:19:05 BST, 104.20.72.23,  0%, 165.678, 167.262, 175.590, 1.151
22/04/2018 12:21:04 BST, 202.78.202.70,  0%, 311.909, 314.695, 326.171, 1.882
22/04/2018 12:25:13 BST, 200.170.94.6,  0%, 192.441, 235.529, 246.946, 21.223
22/04/2018 12:27:12 BST, 45.221.77.2,  0%, 226.876, 229.109, 230.872, 1.009
22/04/2018 12:29:12 BST, 116.90.239.10,  0%, 243.883, 246.067, 247.328, 1.175
22/04/2018 12:31:11 BST, 41.72.99.143,  0%, 183.263, 185.135, 186.599, 1.061
22/04/2018 12:33:11 BST, 163.43.24.70,  0%, 149.982, 151.421, 152.907, 0.821
22/04/2018 12:37:20 BST, 103.242.31.11,  0%, 169.424, 171.404, 175.147, 1.041
22/04/2018 12:39:19 BST, 103.75.188.168,  69%, 10.404, 10.607, 10.878, 0.174
22/04/2018 12:41:20 BST, 107.190.134.163,  0%, 215.260, 256.960, 273.523, 20.363
22/04/2018 12:43:19 BST, 103.241.150.190,  0%, 140.416, 184.324, 196.224, 20.991
22/04/2018 12:45:18 BST, 112.137.166.236,  0%, 12.123, 12.333, 13.007, 0.202
22/04/2018 12:47:17 BST, 178.33.235.187,  0%, 136.802, 190.817, 198.428, 13.478
22/04/2018 12:49:17 BST, 101.100.209.220,  27%, 243.066, 284.236, 296.601, 21.387
22/04/2018 12:51:18 BST, 116.12.51.45,  0%, 0.000, 6.582, 7.348, 0.615
22/04/2018 12:53:17 BST, 188.42.162.69,  0%, 121.629, 170.958, 251.353, 20.264
22/04/2018 12:55:16 BST, 116.12.51.45,  0%, 197.150, 200.077, 257.471, 5.456
22/04/2018 12:57:16 BST, 180.92.193.10,  0%, 248.271, 250.779, 264.715, 3.683
22/04/2018 18:19:06 BST, 104.20.72.23,  1%, 137.886, 161.064, 167.188, 11.415
22/04/2018 18:21:06 BST, 202.78.202.70,  0%, 281.722, 309.563, 661.915, 34.490
22/04/2018 18:25:15 BST, 200.170.94.6,  0%, 243.448, 244.791, 245.605, 0.890
22/04/2018 18:27:14 BST, 45.221.77.2,  0%, 226.861, 228.078, 228.937, 0.756
22/04/2018 18:29:14 BST, 116.90.239.10,  0%, 216.025, 244.520, 412.067, 17.372
22/04/2018 18:31:13 BST, 41.72.99.143,  22%, 153.019, 181.299, 201.518, 10.218
22/04/2018 18:33:13 BST, 163.43.24.70,  0%, 118.472, 144.647, 151.567, 12.830
22/04/2018 18:35:12 BST, 133.130.35.170,  0%, 223.412, 254.672, 258.593, 6.076
22/04/2018 18:37:12 BST, 103.242.31.11,  0%, 169.408, 170.645, 178.064, 1.046
22/04/2018 18:39:11 BST, 103.75.188.168,  75%, 10.457, 10.571, 10.756, 0.118
22/04/2018 18:41:11 BST, 107.190.134.163,  0%, 265.053, 265.545, 266.529, 0.567
22/04/2018 18:43:11 BST, 103.241.150.190,  0%, 193.021, 193.548, 195.460, 0.440
22/04/2018 18:45:10 BST, 112.137.166.236,  0%, 12.156, 12.338, 13.113, 0.187
22/04/2018 18:47:09 BST, 178.33.235.187,  0%, 192.105, 193.399, 197.188, 0.746
22/04/2018 18:49:09 BST, 101.100.209.220,  37%, 260.837, 287.746, 302.942, 13.185
22/04/2018 18:51:09 BST, 116.12.51.45,  0%, 6.476, 6.572, 7.053, 0.103
22/04/2018 18:53:08 BST, 188.42.162.69,  1%, 141.527, 179.135, 199.784, 14.594
22/04/2018 18:55:08 BST, 116.12.51.45,  0%, 161.522, 191.831, 200.127, 13.997
22/04/2018 18:57:08 BST, 180.92.193.10,  0%, 243.526, 247.541, 326.967, 8.545
23/04/2018 00:19:05 BST, 104.20.72.23,  0%, 165.602, 168.059, 169.332, 1.287
23/04/2018 00:21:04 BST, 202.78.202.70,  0%, 314.897, 316.178, 317.688, 0.891
23/04/2018 00:25:13 BST, 200.170.94.6,  0%, 160.815, 242.374, 249.007, 19.483
23/04/2018 00:27:13 BST, 45.221.77.2,  0%, 150.423, 215.238, 235.848, 31.850
23/04/2018 00:29:12 BST, 116.90.239.10,  0%, 243.799, 247.407, 249.646, 1.974
23/04/2018 00:31:11 BST, 41.72.99.143,  1%, 184.080, 186.400, 190.194, 1.143
23/04/2018 00:33:11 BST, 163.43.24.70,  0%, 63.913, 146.535, 153.485, 21.970
23/04/2018 00:35:11 BST, 133.130.35.170,  0%, 254.150, 258.470, 264.868, 1.977
23/04/2018 00:37:11 BST, 103.242.31.11,  0%, 169.332, 172.182, 176.388, 1.497
23/04/2018 00:39:10 BST, 103.75.188.168,  72%, 10.402, 10.683, 10.899, 0.132
23/04/2018 00:41:10 BST, 107.190.134.163,  0%, 265.178, 268.146, 274.468, 1.566
23/04/2018 00:43:10 BST, 103.241.150.190,  0%, 194.706, 195.998, 201.675, 1.275
23/04/2018 00:45:10 BST, 112.137.166.236,  0%, 12.178, 12.441, 12.724, 0.172
23/04/2018 00:47:09 BST, 178.33.235.187,  0%, 192.075, 195.240, 198.201, 1.578
23/04/2018 00:49:08 BST, 101.100.209.220,  30%, 293.829, 297.174, 298.488, 1.250
23/04/2018 00:51:08 BST, 116.12.51.45,  0%, 6.465, 8.946, 284.361, 25.247
23/04/2018 00:53:08 BST, 188.42.162.69,  2%, 176.898, 180.151, 194.665, 3.059
23/04/2018 00:55:08 BST, 116.12.51.45,  0%, 199.781, 201.025, 218.678, 1.784
23/04/2018 00:57:07 BST, 180.92.193.10,  0%, 246.396, 252.167, 300.617, 5.837
23/04/2018 06:19:05 BST, 104.20.72.23,  0%, 165.588, 167.246, 168.349, 0.721
23/04/2018 06:21:05 BST, 202.78.202.70,  0%, 260.089, 306.648, 438.781, 24.761
23/04/2018 06:25:13 BST, 200.170.94.6,  0%, 245.297, 245.960, 247.386, 0.522
23/04/2018 06:27:13 BST, 45.221.77.2,  0%, 228.628, 229.325, 230.301, 0.738
23/04/2018 06:29:12 BST, 116.90.239.10,  0%, 191.253, 235.742, 247.351, 21.826
23/04/2018 06:31:12 BST, 41.72.99.143,  10%, 183.852, 189.959, 203.917, 3.575
23/04/2018 06:33:12 BST, 163.43.24.70,  0%, 149.913, 151.419, 152.889, 0.890
23/04/2018 06:37:20 BST, 103.242.31.11,  0%, 169.416, 171.198, 172.845, 0.815
23/04/2018 06:39:20 BST, 103.75.188.168,  68%, 10.479, 10.580, 10.822, 0.138
23/04/2018 06:41:20 BST, 107.190.134.163,  0%, 263.770, 267.417, 365.142, 9.034
23/04/2018 06:43:19 BST, 103.241.150.190,  0%, 192.301, 194.368, 199.194, 1.092
23/04/2018 06:45:19 BST, 112.137.166.236,  0%, 12.226, 12.362, 13.135, 0.157
23/04/2018 06:47:18 BST, 178.33.235.187,  0%, 193.743, 194.746, 200.817, 1.177
23/04/2018 06:49:17 BST, 101.100.209.220,  0%, 236.664, 284.147, 305.725, 23.241
23/04/2018 06:51:17 BST, 116.12.51.45,  0%, 6.453, 6.594, 7.606, 0.127
23/04/2018 06:53:16 BST, 188.42.162.69,  0%, 174.502, 178.009, 242.895, 7.092
23/04/2018 06:55:15 BST, 116.12.51.45,  0%, 197.191, 203.171, 243.734, 6.957
23/04/2018 06:57:15 BST, 180.92.193.10,  0%, 246.339, 249.907, 265.487, 3.207
23/04/2018 12:19:05 BST, 104.20.72.23,  0%, 165.956, 166.376, 170.064, 0.556
23/04/2018 12:21:04 BST, 202.78.202.70,  0%, 303.077, 312.148, 318.414, 1.863
23/04/2018 12:25:14 BST, 200.170.94.6,  0%, 243.684, 243.991, 245.216, 0.693
23/04/2018 12:27:13 BST, 45.221.77.2,  0%, 216.114, 225.218, 227.633, 4.364
23/04/2018 12:29:12 BST, 116.90.239.10,  0%, 233.729, 243.748, 244.639, 2.510
23/04/2018 12:31:12 BST, 41.72.99.143,  4%, 183.264, 183.868, 184.825, 0.404
23/04/2018 12:33:12 BST, 163.43.24.70,  0%, 149.979, 150.308, 150.676, 0.562
23/04/2018 12:35:11 BST, 133.130.35.170,  0%, 254.186, 254.765, 264.188, 1.004
23/04/2018 12:37:11 BST, 103.242.31.11,  0%, 169.468, 169.865, 171.432, 0.390
23/04/2018 12:39:10 BST, 103.75.188.168,  64%, 10.392, 10.473, 10.644, 0.152
23/04/2018 12:41:10 BST, 107.190.134.163,  0%, 256.297, 263.086, 265.049, 2.372
23/04/2018 12:43:10 BST, 103.241.150.190,  0%, 186.412, 191.502, 196.929, 2.425
23/04/2018 12:45:10 BST, 112.137.166.236,  0%, 6.383, 11.845, 12.868, 1.497
23/04/2018 12:47:09 BST, 178.33.235.187,  0%, 186.112, 191.842, 237.018, 4.722
23/04/2018 12:49:08 BST, 101.100.209.220,  9%, 186.031, 291.823, 298.815, 10.337
23/04/2018 12:51:08 BST, 116.12.51.45,  0%, 0.888, 6.491, 6.966, 0.520
